id,name,hand_size
1,Simon Muran,5
2,Teana,5
3,Jono,5
4,Villager1,5
5,Villager2,5
6,Villager3,5
7,Seto,10
8,Heishin,20
9,Rex Raptor,8
10,Weevil Underwood,8
11,Mai Valentine,10
12,Bandit Keith,12
13,Shadi,12
14,Yami Bakura,14
15,Pegasus,16
16,Isis,16
17,Kaiba,16
18,Mage Soldier,12
19,Jono 2nd,10
20,Teana 2nd,10
21,Ocean Mage,14
22,High Mage Secmeton,16
23,Forest Mage,14
24,High Mage Anubisius,16
25,Mountain Mage,14
26,High Mage Atenza,16
27,Desert Mage,14
28,High Mage Martis,16
29,Meadow Mage,14
30,High Mage Kepura,16
31,Labyrinth Mage,16
32,Seto 2nd,18
33,Guardian Sebek,20
34,Guardian Neku,20
35,Heishin 2nd,20
36,Seto 3rd,20
37,DarkNite,20
38,Nitemare,20
39,Duel Master K,15
